Year,Id,Link_ID,Active,Link_Info,From_Core,To_Core,Euc_Dist,CW_Dist,LCP_Length,Shape_Length,cw_to_Euc_Dist_Ratio,cwd_to_Path_Length_Ratio,Current_Flow_Centrality,Effective_Resistance,cwd_to_Eff_Resist_Ratio
2017,0,237,1,"""Connects_cores""",84,94,9169,134506.55,10178,10178.59079,14.67000008,13.22000027,-1,4090.560059,32.88219833
2017,0,238,1,"""Connects_cores""",84,96,10123,147090.39,12030,12030.21411,14.52999973,12.22999954,-1,4579.660156,32.11819839
2017,0,239,1,"""Connects_cores""",85,89,3800,90910.44,4655,4655.512939,23.92000008,19.53000069,-1,3189.899902,28.49950027
2017,0,240,1,"""Connects_cores""",87,88,2088,112976.76,5959,5959.188259,54.11000061,18.95999908,-1,5298.959961,21.32060051
2017,0,241,1,"""Connects_cores""",89,91,1851,33895.72,2271,2271.837709,18.30999947,14.93000031,-1,1137.589966,29.79610062
2017,0,242,1,"""Connects_cores""",89,92,1868,34484.05,2383,2383.6754,18.45999908,14.47000027,-1,1438.300049,23.97559929
2017,0,243,1,"""Connects_cores""",91,92,636,15144.96,1080,1079.99998,23.80999947,14.02000046,-1,1068.540039,14.17350006
2017,0,244,1,"""Connects_cores""",91,95,3415,54047.07,3911,3911.025948,15.82999992,13.81999969,-1,1952.589966,27.67970085
2017,0,245,1,"""Connects_cores""",91,96,10048,117719.42,11872,11872.05192,11.72000027,9.920000076,-1,2410.679932,48.83240128
2017,0,246,1,"""Connects_cores""",91,101,5350,87239.25,5893,5893.67531,16.30999947,14.80000019,-1,1877.949951,46.45449829
2017,0,247,1,"""Connects_cores""",91,104,7548,112412.22,8697,8697.564968,14.89000034,12.93000031,-1,2037.97998,55.15879822
2017,0,248,1,"""Connects_cores""",92,95,2646,40695.23,2942,2942.863618,15.38000011,13.82999992,-1,2053.090088,19.82150078
2017,0,249,1,"""Connects_cores""",94,96,2965,32374.04,3799,3799.188299,10.92000008,8.520000458,-1,1365.22998,23.71319962
2017,0,250,1,"""Connects_cores""",94,97,1821,21409.15,2607,2607.35067,11.76000023,8.210000038,-1,830.4470215,25.78030014
2017,0,251,1,"""Connects_cores""",95,98,3298,62168.84,4181,4181.026018,18.85000038,14.86999989,-1,2604.560059,23.86919975
2017,0,252,1,"""Connects_cores""",95,100,3493,53691.76,3891,3891.837629,15.36999989,13.80000019,-1,2587.040039,20.7541008
2017,0,253,1,"""Connects_cores""",95,101,5049,88585.11,6518,6518.376589,17.54999924,13.59000015,-1,2576.370117,34.38370132
2017,0,255,1,"""Connects_cores""",96,97,2014,23831.58,2495,2495.512979,11.82999992,9.550000191,-1,1380.26001,17.26600075
2017,0,256,1,"""Connects_cores""",96,104,7057,80907.34,7999,7999.402607,11.46000004,10.10999966,-1,2204.169922,36.70650101
2017,0,257,1,"""Connects_cores""",97,104,8658,98154.66,9823,9823.889548,11.34000015,9.989999771,-1,1890.02002,51.93310165
2017,0,258,1,"""Connects_cores""",98,100,1683,41293.72,2383,2383.675229,24.54000092,17.32999992,-1,1919.380005,21.51409912
2017,0,259,1,"""Connects_cores""",98,102,741,19978.57,1303,1303.675249,26.95999908,15.32999992,-1,1817.839966,10.99030018
2017,0,260,1,"""Connects_cores""",100,102,601,31303.32,1415,1415.51307,52.09000015,22.12000084,-1,1934.640015,16.18050003
2017,0,261,1,"""Connects_cores""",100,103,880,19091.22,1303,1303.67542,21.69000053,14.64999962,-1,975.9119873,19.56240082
